;price;bedrooms;bathrooms;sqft_living;floors;waterfront;condition;grade;sqft_above;sqft_basement;yr_built;lat;long
0;221900,0;3;1,0;1180;1,0;0;3;7;1180;0;1955;47,5112;-122,257
1;538000,0;3;2,25;2570;2,0;0;3;7;2170;400;1951;47,721;-122,319
2;180000,0;2;1,0;770;1,0;0;3;6;770;0;1933;47,7379;-122,233
3;604000,0;4;3,0;1960;1,0;0;5;7;1050;910;1965;47,5208;-122,393
4;510000,0;3;2,0;1680;1,0;0;3;8;1680;0;1987;47,6168;-122,045
5;1225000,0;4;4,5;5420;1,0;0;3;11;3890;1530;2001;47,6561;-122,005
6;257500,0;3;2,25;1715;2,0;0;3;7;1715;0;1995;47,3097;-122,327
7;291850,0;3;1,5;1060;1,0;0;3;7;1060;0;1963;47,4095;-122,315
8;229500,0;3;1,0;1780;1,0;0;3;7;1050;730;1960;47,5123;-122,337
9;323000,0;3;2,5;1890;2,0;0;3;7;1890;0;2003;47,3684;-122,031
10;662500,0;3;2,5;3560;1,0;0;3;8;1860;1700;1965;47,6007;-122,145
11;468000,0;2;1,0;1160;1,0;0;4;7;860;300;1942;47,69;-122,292
12;310000,0;3;1,0;1430;1,5;0;4;7;1430;0;1927;47,7558;-122,229
13;400000,0;3;1,75;1370;1,0;0;4;7;1370;0;1977;47,6127;-122,045
14;530000,0;5;2,0;1810;1,5;0;3;7;1810;0;1900;47,67;-122,394
15;650000,0;4;3,0;2950;2,0;0;3;9;1980;970;1979;47,5714;-122,375
16;395000,0;3;2,0;1890;2,0;0;3;7;1890;0;1994;47,7277;-121,962
17;485000,0;4;1,0;1600;1,5;0;4;7;1600;0;1916;47,6648;-122,343
18;189000,0;2;1,0;1200;1,0;0;4;7;1200;0;1921;47,3089;-122,21
19;230000,0;3;1,0;1250;1,0;0;4;7;1250;0;1969;47,3343;-122,306
20;385000,0;4;1,75;1620;1,0;0;4;7;860;760;1947;47,7025;-122,341
21;2000000,0;3;2,75;3050;1,0;0;3;9;2330;720;1968;47,5316;-122,233
22;285000,0;5;2,5;2270;2,0;0;3;8;2270;0;1995;47,3266;-122,169
23;252700,0;2;1,5;1070;1,0;0;3;7;1070;0;1985;47,3533;-122,166
24;329000,0;3;2,25;2450;2,0;0;4;8;2450;0;1985;47,3739;-122,172
25;233000,0;3;2,0;1710;1,5;0;5;6;1710;0;1941;47,3048;-122,218
26;937000,0;3;1,75;2450;2,0;0;3;8;1750;700;1915;47,6386;-122,36
27;667000,0;3;1,0;1400;1,5;0;5;8;1400;0;1909;47,6221;-122,314
28;438000,0;3;1,75;1520;1,0;0;3;7;790;730;1948;47,695;-122,304
29;719000,0;4;2,5;2570;2,0;0;3;8;2570;0;2005;47,7073;-122,11
30;580500,0;3;2,5;2320;2,0;0;3;8;2320;0;2003;47,5391;-122,07
31;280000,0;2;1,5;1190;3,0;0;3;7;1190;0;2005;47,7274;-122,357
32;687500,0;4;1,75;2330;1,5;0;4;7;1510;820;1929;47,6823;-122,368
33;535000,0;3;1,0;1090;1,5;0;4;8;1090;0;1929;47,6889;-122,375
34;322500,0;4;2,75;2060;1,0;0;3;7;1280;780;1981;47,4276;-122,157
35;696000,0;3;2,5;2300;1,5;0;3;8;1510;790;1930;47,6827;-122,31
36;550000,0;4;1,0;1660;1,0;0;1;5;930;730;1933;47,6621;-122,132
