,price,bedrooms,bathrooms,sqft_living,floors,waterfront,condition,grade,sqft_above,sqft_basement,yr_built
0,0,3,1.0,1180,1.0,0,3,7,1180,0,1955
1,1,3,2.25,2570,2.0,0,3,7,2170,400,1951
2,0,2,1.0,770,1.0,0,3,6,770,0,1933
3,1,4,3.0,1960,1.0,0,5,7,1050,910,1965
4,1,3,2.0,1680,1.0,0,3,8,1680,0,1987
5,1,4,4.5,5420,1.0,0,3,11,3890,1530,2001
6,0,3,2.25,1715,2.0,0,3,7,1715,0,1995
7,0,3,1.5,1060,1.0,0,3,7,1060,0,1963
8,0,3,1.0,1780,1.0,0,3,7,1050,730,1960
9,0,3,2.5,1890,2.0,0,3,7,1890,0,2003
10,1,3,2.5,3560,1.0,0,3,8,1860,1700,1965
11,1,2,1.0,1160,1.0,0,4,7,860,300,1942
12,0,3,1.0,1430,1.5,0,4,7,1430,0,1927
13,0,3,1.75,1370,1.0,0,4,7,1370,0,1977
14,1,5,2.0,1810,1.5,0,3,7,1810,0,1900
15,1,4,3.0,2950,2.0,0,3,9,1980,970,1979
16,0,3,2.0,1890,2.0,0,3,7,1890,0,1994
17,1,4,1.0,1600,1.5,0,4,7,1600,0,1916
18,0,2,1.0,1200,1.0,0,4,7,1200,0,1921
19,0,3,1.0,1250,1.0,0,4,7,1250,0,1969
20,0,4,1.75,1620,1.0,0,4,7,860,760,1947
21,1,3,2.75,3050,1.0,0,3,9,2330,720,1968
22,0,5,2.5,2270,2.0,0,3,8,2270,0,1995
23,0,2,1.5,1070,1.0,0,3,7,1070,0,1985
24,0,3,2.25,2450,2.0,0,4,8,2450,0,1985
25,0,3,2.0,1710,1.5,0,5,6,1710,0,1941
26,1,3,1.75,2450,2.0,0,3,8,1750,700,1915
27,1,3,1.0,1400,1.5,0,5,8,1400,0,1909
28,0,3,1.75,1520,1.0,0,3,7,790,730,1948
29,1,4,2.5,2570,2.0,0,3,8,2570,0,2005
30,1,3,2.5,2320,2.0,0,3,8,2320,0,2003
31,0,2,1.5,1190,3.0,0,3,7,1190,0,2005
32,1,4,1.75,2330,1.5,0,4,7,1510,820,1929
33,1,3,1.0,1090,1.5,0,4,8,1090,0,1929
34,0,4,2.75,2060,1.0,0,3,7,1280,780,1981
35,1,3,2.5,2300,1.5,0,3,8,1510,790,1930
36,1,4,1.0,1660,1.0,0,1,5,930,730,1933
37,1,4,2.0,2360,2.0,0,4,8,2360,0,1904
38,0,4,1.0,1220,1.0,0,2,7,890,330,1969
39,1,4,2.5,2620,2.0,0,3,8,2620,0,1996
40,1,4,2.5,2570,2.0,0,3,9,2570,0,2000
41,1,4,2.25,4220,1.0,0,3,8,2600,1620,1984
42,1,5,2.75,3595,2.0,0,3,9,3595,0,2014
43,1,3,1.0,1570,2.0,0,3,7,1570,0,1922
44,0,3,1.0,1280,1.0,0,4,6,920,360,1959
45,1,3,2.5,3160,2.0,0,3,8,3160,0,2003
46,0,3,1.0,990,1.0,0,3,6,990,0,1966
47,1,4,2.5,2290,2.0,0,4,9,2290,0,1981
48,1,3,1.75,1250,1.0,0,4,7,1250,0,1953
49,1,3,2.5,2753,1.0,1,5,9,2165,588,1953
50,0,3,1.0,1190,1.0,0,3,7,1190,0,1955
51,0,5,2.5,3150,1.0,0,4,8,1640,1510,1966
52,1,3,1.75,1410,1.0,0,4,7,1000,410,1950
53,1,2,1.75,1980,1.0,0,3,7,990,990,1981
54,1,5,2.25,2730,1.5,0,3,8,2130,600,1927
55,1,4,2.5,2830,2.0,0,3,9,2830,0,1995
56,0,4,2.5,2250,2.0,0,3,7,2250,0,2008
57,0,3,2.5,2420,2.0,0,3,8,2420,0,2003
58,1,5,3.25,3250,2.0,0,4,8,3250,0,1968
59,0,4,3.0,1850,2.0,0,3,8,1850,0,1991
60,1,3,2.25,2150,1.0,0,4,8,1590,560,1959
61,0,3,1.75,1260,1.0,0,3,7,1260,0,1954
62,1,3,1.75,2519,2.0,0,5,8,2519,0,1973
63,1,3,1.75,1540,3.0,0,3,8,1540,0,2014
64,0,3,2.25,1660,1.0,0,3,7,1110,550,1979
65,0,3,2.75,2770,1.5,0,5,7,1770,1000,1925
66,1,4,2.5,2720,2.0,0,3,10,2720,0,1989
67,0,4,2.5,2240,2.0,0,3,7,2240,0,2005
68,0,3,1.0,1000,1.0,0,4,7,1000,0,1968
69,1,5,2.25,3200,1.0,0,3,8,1600,1600,1965
70,1,5,3.25,4770,1.0,0,4,11,3070,1700,1973
71,0,3,2.0,1260,1.0,0,4,7,1260,0,1972
72,1,4,2.0,2750,1.5,0,5,7,2250,500,1916
73,0,4,2.5,2380,2.0,0,3,8,2380,0,2005
74,0,3,1.75,1790,1.0,0,5,7,1090,700,1965
75,1,4,4.0,3430,2.0,0,4,10,2390,1040,1986
76,0,4,1.75,1760,1.0,0,3,7,880,880,1956
77,1,3,1.0,1040,1.0,0,3,7,1040,0,1941
78,0,3,1.0,1410,1.0,0,4,7,910,500,1956
79,1,4,2.5,3450,2.0,0,3,10,3450,0,2002
80,0,3,2.5,2350,2.0,0,3,8,2350,0,2003
81,0,4,2.5,1900,2.0,0,3,7,1900,0,1992
82,0,2,1.0,2020,1.0,0,3,7,1010,1010,1948
83,0,3,1.5,1680,1.0,0,3,8,1680,0,1964
84,0,3,1.0,960,1.0,0,3,6,960,0,1952
85,1,3,1.5,2140,2.0,0,3,9,1900,240,1925
86,0,5,2.25,2660,1.5,0,5,7,2660,0,1961
87,1,3,3.25,2770,2.0,0,3,9,1980,790,2006
88,0,2,2.25,1610,2.0,0,4,7,1610,0,1979
89,0,2,1.75,1030,2.0,0,3,7,765,265,2006
90,0,4,2.5,1980,2.0,0,3,7,1980,0,1988
91,1,5,2.75,3520,2.0,0,4,10,3520,0,2001
92,0,3,1.0,1200,1.0,0,3,7,1200,0,1962
93,0,3,1.5,1580,1.0,0,3,8,1290,290,1939
94,1,3,1.5,1580,1.0,0,3,8,1290,290,1939
95,1,4,2.5,3300,1.0,0,3,7,2390,910,1946
96,0,3,1.75,1960,1.0,0,3,7,1960,0,1967
97,0,4,1.5,1160,1.0,0,4,7,1160,0,1975
98,0,3,1.75,1810,1.0,0,5,7,1210,600,1980
99,0,3,2.5,2320,2.0,0,3,9,2320,0,1992
100,1,3,2.5,2070,1.5,0,5,9,1270,800,1910
101,1,3,2.0,1980,1.5,0,4,7,1440,540,1929
102,1,3,2.25,2190,2.0,0,4,8,2190,0,1983
103,1,3,2.5,2920,2.0,0,3,8,2920,0,1950
104,0,3,1.0,1210,1.0,0,3,7,1210,0,1954
105,0,3,2.5,2340,1.0,0,4,8,1460,880,1978
106,1,3,1.0,1670,1.5,0,4,7,1170,500,1939
107,0,2,1.75,1240,1.0,0,4,8,1240,0,1985
108,1,4,2.5,3140,2.0,0,4,10,3140,0,1991
109,1,5,1.75,2030,2.0,0,4,7,2030,0,1942
110,1,4,2.5,2310,2.0,0,3,8,2310,0,1984
111,1,3,1.75,1260,1.0,0,5,6,700,560,1905
112,0,3,1.75,1540,1.0,0,4,7,1160,380,1980
113,0,3,1.75,2080,1.0,0,3,7,1080,1000,1971
114,1,4,2.5,3230,2.0,0,3,9,2520,710,2001
115,1,3,3.5,4380,2.0,0,3,8,2780,1600,1900
116,1,3,3.5,1590,3.0,0,3,8,1590,0,2010
117,0,2,1.0,880,1.0,0,4,6,880,0,1945
118,0,4,2.0,1570,1.0,0,3,6,1570,0,1950
119,1,4,1.0,1610,1.5,0,4,7,1610,0,1925
120,1,3,2.5,2400,1.0,0,3,8,1560,840,1964
121,0,3,2.0,1450,1.0,0,3,7,1450,0,1987
122,0,2,1.0,770,1.0,0,3,6,770,0,1953
123,0,4,1.75,2100,1.5,0,5,7,1720,380,1924
124,1,3,2.25,2910,2.0,0,3,9,2910,0,1990
125,1,4,2.75,2750,1.5,0,3,8,1980,770,1914
126,0,3,2.25,2100,1.0,0,3,8,1620,480,1967
127,0,4,2.25,2160,1.0,0,3,8,1360,800,1978
128,1,5,3.5,2320,2.0,0,5,7,1720,600,1926
129,0,4,2.5,2070,2.0,0,3,7,2070,0,2004
130,0,3,1.75,1060,1.0,0,4,7,1060,0,1986
131,1,4,2.25,2010,1.0,0,3,8,1440,570,1986
132,1,3,3.5,3950,1.5,0,3,9,2460,1490,1989
133,1,3,2.5,2010,2.0,0,3,8,1390,620,2014
134,1,4,3.5,2140,3.0,0,3,9,2140,0,2005
135,0,3,1.75,1320,1.0,0,4,7,1320,0,1956
136,0,4,1.75,2020,1.0,0,3,7,1010,1010,1968
137,1,4,2.25,2590,1.0,0,4,8,1340,1250,1968
138,0,2,1.0,1190,1.0,0,3,6,1190,0,1981
139,1,3,2.25,1170,3.0,0,3,8,1170,0,2014
140,1,2,1.0,1110,1.0,0,3,7,1110,0,1925
141,1,5,2.5,2820,1.0,0,4,8,1550,1270,1968
142,0,3,1.0,1610,1.0,0,4,7,1010,600,1962
143,0,3,1.0,1060,1.0,0,4,7,940,120,1923
144,1,4,2.25,2030,1.0,0,4,8,1380,650,1961
145,1,4,2.5,3670,2.0,0,4,9,3670,0,1994
146,1,4,1.0,2550,2.0,0,3,8,2370,180,1905
147,0,2,2.5,2420,2.0,0,3,7,2420,0,2007
148,0,5,2.0,2260,1.0,0,4,8,1130,1130,1960
149,1,3,1.0,1430,1.0,0,3,7,980,450,1947
150,1,3,2.0,1360,2.0,0,3,8,1360,0,1990
151,1,3,1.0,1110,1.5,0,3,7,1110,0,1947
152,0,3,1.0,1250,1.0,0,4,7,1250,0,1954
153,1,4,3.25,5180,2.0,0,3,12,3540,1640,2006
154,0,1,1.0,700,1.0,0,3,7,700,0,1942
155,0,3,1.0,1180,1.0,0,4,7,1180,0,1967
156,1,5,3.5,3960,2.0,0,3,9,2500,1460,1996
157,0,4,2.75,2640,1.0,0,3,8,1620,1020,1967
158,0,3,2.0,1270,1.5,0,3,7,1270,0,1916
159,0,4,1.75,1760,1.0,0,4,8,1760,0,1968
160,0,5,2.25,2060,1.0,0,3,7,1030,1030,1962
161,0,3,1.75,1780,1.0,0,3,7,1780,0,1962
162,1,3,2.5,3400,2.0,0,3,10,3400,0,2000
163,0,3,2.75,1910,1.0,0,3,7,1160,750,1979
164,0,3,2.0,2020,1.0,0,4,7,1010,1010,1975
165,0,3,1.75,1580,1.0,0,3,7,1180,400,1976
166,0,2,1.75,1340,1.0,0,5,5,700,640,1949
167,1,4,2.5,2680,2.0,0,3,9,2680,0,1999
168,1,3,2.5,2680,1.0,0,4,8,1610,1070,1979
169,0,3,2.0,1370,1.0,0,5,7,1370,0,1964
170,0,3,1.75,1560,1.0,0,3,7,1560,0,1954
171,0,3,1.75,2160,1.0,0,4,7,1670,490,1978
172,0,3,1.5,1340,1.5,0,3,7,1340,0,1955
173,1,4,2.5,3880,2.0,0,3,10,2570,1310,1984
174,1,4,2.25,2590,2.0,0,4,8,2590,0,1980
175,0,3,2.5,1120,2.0,0,3,8,820,300,2008
176,0,5,2.75,1970,1.0,0,3,7,1320,650,1986
177,0,3,1.0,1220,1.0,0,3,6,1220,0,1901
178,0,3,1.5,1950,1.0,0,4,7,1320,630,1975
179,0,2,1.0,1350,1.0,0,3,7,1060,290,1949
180,0,3,2.5,1670,2.0,0,3,7,1670,0,1988
181,1,4,3.0,2380,1.5,0,4,7,1680,700,1925
182,1,4,3.0,2440,2.0,0,5,7,2440,0,1961
183,0,2,1.5,1050,2.0,0,3,7,1050,0,1996
184,1,4,2.75,3130,2.0,0,3,9,2140,990,1993
185,1,5,3.0,4090,1.0,0,4,10,2090,2000,1986
186,0,4,1.75,1490,1.0,0,4,8,1100,390,1969
187,1,3,2.5,1900,2.0,0,3,8,1900,0,1987
188,1,4,1.0,1330,1.5,0,4,6,1330,0,1901
189,1,3,2.25,2230,1.0,0,3,8,1430,800,1975
190,0,3,1.75,1650,1.0,0,3,7,1220,430,1977
191,0,3,1.0,1190,1.0,0,3,6,1190,0,1959
192,1,3,2.5,2140,1.0,0,4,8,2140,0,1959
193,0,3,2.5,2180,1.0,0,4,7,1420,760,1962
194,0,3,1.0,1060,1.0,0,3,7,1060,0,1948
195,0,3,2.5,1690,2.0,0,3,8,1690,0,2003
196,0,4,2.0,1970,1.5,0,5,7,1130,840,1920
197,1,3,2.5,2150,2.0,0,3,8,2150,0,2007
198,0,3,2.5,1910,2.0,0,3,7,1910,0,1997
199,0,3,1.75,1350,1.0,0,4,7,1350,0,1969
200,0,3,1.0,860,1.0,0,4,6,860,0,1943
201,0,3,2.5,1940,2.0,0,3,8,1940,0,1994
202,1,3,1.0,1010,1.0,0,3,7,1010,0,1952
203,0,3,1.5,1300,1.0,0,4,7,900,400,1976
204,0,3,1.0,910,1.0,0,4,6,910,0,1962
205,1,4,1.75,2480,1.0,0,4,9,1630,850,1966
206,1,3,2.5,2440,2.0,0,3,8,2440,0,2010
207,0,3,1.0,1010,1.0,0,3,7,1010,0,1915
208,0,2,0.75,900,1.0,0,3,6,900,0,1941
209,1,6,3.0,2300,2.0,0,3,7,1600,700,1920
210,0,4,2.25,1550,2.0,0,3,8,1550,0,1993
211,1,3,2.25,1270,2.0,0,3,8,1060,210,2014
212,1,4,2.5,2240,1.0,0,3,9,2240,0,1983
213,1,3,2.5,2714,2.0,0,3,9,2714,0,2005
214,1,4,2.75,1720,2.0,0,3,8,1720,0,1978
215,0,2,1.0,850,1.0,0,3,6,850,0,1923
216,1,5,3.0,3300,1.0,0,3,9,1870,1430,1957
217,0,3,2.5,2250,2.0,0,3,8,2250,0,2000
218,1,2,2.25,3900,1.0,0,3,8,1950,1950,1947
219,1,2,1.5,1320,1.0,0,4,8,1320,0,1947
220,1,4,2.5,2760,2.0,0,3,10,2760,0,1999
221,0,3,2.0,1750,1.0,0,3,7,1350,400,1961
222,1,4,2.25,2330,2.0,0,3,8,2330,0,1987
223,0,3,2.25,2220,1.0,0,4,8,1780,440,1966
224,0,3,2.25,2020,2.0,0,3,7,2020,0,1994
225,0,3,2.25,1250,1.0,0,5,7,1250,0,1942
226,1,2,2.0,1510,1.0,0,3,8,1510,0,2005
227,0,4,2.25,1720,1.0,0,4,7,1120,600,1978
228,0,3,1.0,1430,1.0,0,4,7,980,450,1961
229,1,3,2.5,1480,2.0,0,3,7,1480,0,2004
230,1,2,1.75,1450,2.0,1,3,7,1230,220,1915
