,price,bedrooms,bathrooms,sqft_living,floors,waterfront,condition,grade,sqft_above,sqft_basement,yr_built
0,221900.0,3,1.0,1180,1.0,0,3,7,1180,0,1955
1,538000.0,3,2.25,2570,2.0,0,3,7,2170,400,1951
2,180000.0,2,1.0,770,1.0,0,3,6,770,0,1933
3,604000.0,4,3.0,1960,1.0,0,5,7,1050,910,1965
4,510000.0,3,2.0,1680,1.0,0,3,8,1680,0,1987
5,1225000.0,4,4.5,5420,1.0,0,3,11,3890,1530,2001
6,257500.0,3,2.25,1715,2.0,0,3,7,1715,0,1995
7,291850.0,3,1.5,1060,1.0,0,3,7,1060,0,1963
8,229500.0,3,1.0,1780,1.0,0,3,7,1050,730,1960
9,323000.0,3,2.5,1890,2.0,0,3,7,1890,0,2003
10,662500.0,3,2.5,3560,1.0,0,3,8,1860,1700,1965
11,468000.0,2,1.0,1160,1.0,0,4,7,860,300,1942
12,310000.0,3,1.0,1430,1.5,0,4,7,1430,0,1927
13,400000.0,3,1.75,1370,1.0,0,4,7,1370,0,1977
14,530000.0,5,2.0,1810,1.5,0,3,7,1810,0,1900
15,650000.0,4,3.0,2950,2.0,0,3,9,1980,970,1979
16,395000.0,3,2.0,1890,2.0,0,3,7,1890,0,1994
17,485000.0,4,1.0,1600,1.5,0,4,7,1600,0,1916
18,189000.0,2,1.0,1200,1.0,0,4,7,1200,0,1921
19,230000.0,3,1.0,1250,1.0,0,4,7,1250,0,1969
20,385000.0,4,1.75,1620,1.0,0,4,7,860,760,1947
21,2000000.0,3,2.75,3050,1.0,0,3,9,2330,720,1968
22,285000.0,5,2.5,2270,2.0,0,3,8,2270,0,1995
23,252700.0,2,1.5,1070,1.0,0,3,7,1070,0,1985
24,329000.0,3,2.25,2450,2.0,0,4,8,2450,0,1985
25,233000.0,3,2.0,1710,1.5,0,5,6,1710,0,1941
26,937000.0,3,1.75,2450,2.0,0,3,8,1750,700,1915
27,667000.0,3,1.0,1400,1.5,0,5,8,1400,0,1909
28,438000.0,3,1.75,1520,1.0,0,3,7,790,730,1948
29,719000.0,4,2.5,2570,2.0,0,3,8,2570,0,2005
30,580500.0,3,2.5,2320,2.0,0,3,8,2320,0,2003
31,280000.0,2,1.5,1190,3.0,0,3,7,1190,0,2005
32,687500.0,4,1.75,2330,1.5,0,4,7,1510,820,1929
33,535000.0,3,1.0,1090,1.5,0,4,8,1090,0,1929
34,322500.0,4,2.75,2060,1.0,0,3,7,1280,780,1981
35,696000.0,3,2.5,2300,1.5,0,3,8,1510,790,1930
36,550000.0,4,1.0,1660,1.0,0,1,5,930,730,1933
37,640000.0,4,2.0,2360,2.0,0,4,8,2360,0,1904
38,240000.0,4,1.0,1220,1.0,0,2,7,890,330,1969
39,605000.0,4,2.5,2620,2.0,0,3,8,2620,0,1996
40,625000.0,4,2.5,2570,2.0,0,3,9,2570,0,2000
41,775000.0,4,2.25,4220,1.0,0,3,8,2600,1620,1984
42,861990.0,5,2.75,3595,2.0,0,3,9,3595,0,2014
43,685000.0,3,1.0,1570,2.0,0,3,7,1570,0,1922
44,309000.0,3,1.0,1280,1.0,0,4,6,920,360,1959
45,488000.0,3,2.5,3160,2.0,0,3,8,3160,0,2003
46,210490.0,3,1.0,990,1.0,0,3,6,990,0,1966
47,785000.0,4,2.5,2290,2.0,0,4,9,2290,0,1981
